supergroup,color_supergroup,division,color_division,class,color_class
Alveolata,gold,Dinoflagellata,khaki4,Syndiniales,Orange
Alveolata,gold,Dinoflagellata,khaki4,Dinophyceae,Gold
Alveolata,gold,Ciliophora,khaki1,Spirotrichea,Moccasin
Alveolata,gold,Ciliophora,khaki1,Nassophorea,LemonChiffon
Alveolata,gold,Ciliophora,khaki1,Oligohymenophorea,PaleGoldenrod
Alveolata,gold,Apicomplexa,gold4,Apicomplexa,gold4
Alveolata,gold,Alveolata_X,gold2,Alveolata_X,gold2
Alveolata,gold,Perkinsea,gold3,Perkinsea,gold3
Amoebozoa,cadetblue,Lobosa,cadetblue,Lobosa,cadetblue
Amoebozoa,cadetblue,Breviatea,cadetblue1,Breviatea,cadetblue1
Amoebozoa,cadetblue,Conosa,cadetblue2,Conosa,cadetblue2
Apusozoa,coral,Hilomonadea,coral3,Hilomonadea,coral3
Apusozoa,coral,Apusomonadidae,coral,Apusomonadidae,coral
Archaeplastida,palegreen,Chlorophyta,palegreen2,Chloropicophyceae,DarkGreen
Archaeplastida,palegreen,Chlorophyta,palegreen2,Mamiellophyceae,MediumSpringGreen
Archaeplastida,palegreen,Chlorophyta,palegreen2,Prasino-Clade-V,DarkSeaGreen
Archaeplastida,palegreen,Chlorophyta,palegreen2,Trebouxiophyceae,palegreen2
Archaeplastida,palegreen,Streptophyta,palegreen3,Streptophyta,palegreen3
Archaeplastida,palegreen,Rhodophyta,palegreen4,Rhodophyta,palegreen4
Eukaryota_X,slategray,Eukaryota_XX,slategray,Eukaryota_XX,slategray
Excavata,Red,Discoba,Red,Discoba,Red
Excavata,Red,Metamonada,brown1,Metamonada,brown1
Hacrobia,thistle,Haptophyta,magenta,Prymnesiophyceae,Blue
Hacrobia,thistle,Cryptophyta,thistle3,Cryptophyceae,LightSalmon
Hacrobia,thistle,Telonemia,powderblue,Telonemia_X,powderblue
Hacrobia,thistle,Katablepharidophyta,tan4,Katablepharidaceae,tan4
Hacrobia,thistle,Picozoa,snow4,Picozoa_X,snow4
Hacrobia,thistle,Centroheliozoa,thistle,Centroheliozoa,thistle
Opisthokonta,lightpink1,Choanoflagellida,lightpink1,Choanoflagellatea,lightpink1
Opisthokonta,lightpink1,Mesomycetozoa,lightpink3,Mesomycetozoa,lightpink3
Opisthokonta,lightpink1,Opisthokonta_unclassified,palevioletred,Opisthokonta_XX,palevioletred
Rhizaria,yellow2,Radiolaria,yellow2,Polycystinea,Magenta
Rhizaria,yellow2,Radiolaria,yellow2,Acantharea,Plum
Rhizaria,yellow2,Radiolaria,yellow2,RAD-B,Purple
Rhizaria,yellow2,Radiolaria,yellow2,RAD-A,BlueViolet
Rhizaria,yellow2,Cercozoa,yellow4,RAD-C,Orchid
Rhizaria,yellow2,Foraminifera,yellow3,Filosa-Thecofilosea,MediumSlateBlue
Stramenopiles,darkorange,Ochrophyta,darkorange,Bacillariophyta,Brown
Stramenopiles,darkorange,Ochrophyta,darkorange,Pelagophyceae,RosyBrown
Stramenopiles,darkorange,Ochrophyta,darkorange,Dictyochophyceae,Burlywood
Stramenopiles,darkorange,Ochrophyta,darkorange,Chrysophyceae,BlanchedAlmond
Stramenopiles,darkorange,Stramenopiles_X,darkorchid,MAST,LightSeaGreen
Stramenopiles,darkorange,Stramenopiles_X,darkorchid,Labyrinthulea,Cyan
Stramenopiles,darkorange,Stramenopiles_X,darkorchid,Bicoecea,Turquoise
Stramenopiles,darkorange,Stramenopiles_X,darkorchid,MOCH,DarkCyan
Stramenopiles,darkorange,Stramenopiles_X,darkorchid,Stramenopiles_XX,LightCyan